-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2021,,,,,,,,
Location: latitude  31.74   longitude -116.55 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 582.51 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2021,1,13.85,24,0,1.86,17.67,4.32,49.33
2021,2,13.72,23.42,0,1.54,17.96,7.92,51.26
2021,3,12.93,25.02,0,1.96,18.86,6.44,58.96
2021,4,12.31,25.55,0,1.73,19.09,7.37,59.15
2021,5,13.97,24.27,0,2.07,23.43,7.19,46.74
2021,6,11.82,24.98,0,1.5,20.04,8.08,42.38
2021,7,13.56,24.9,0,1.41,23.46,8.82,39.5
2021,8,14,24.05,0,1.39,22.16,9.83,47.76
2021,9,14.73,23.62,0,1.96,21.14,9.57,33.74
2021,10,14.46,23.9,0,2.93,20.09,8.23,36.24
2021,11,14.84,22.72,0,2.59,19.76,7.15,35.4
2021,12,15.09,23.11,0,2.34,20.86,7.56,35.37
2021,13,14.47,23.72,0,2.08,23.4,8.14,29.39
2021,14,15.27,24.03,0,2.92,26.24,11.93,27.39
2021,15,15.46,24.59,0,5.65,24.77,14.21,19.21
2021,16,15.63,23.48,0,1.51,29.21,13.03,22.9
2021,17,15.05,24.53,0,1.81,26.79,12.78,24.46
2021,18,13.11,25.86,0.02,1.4,22.18,11.28,33.3
2021,19,7.9,28.87,2.75,3.97,17.45,9.18,58.47
2021,20,5.67,30.14,5.33,4.56,16.95,11.13,79.99
2021,21,13.85,27.09,1.12,1.09,18.4,10.56,80.96
2021,22,12.73,27.46,1.02,2.45,15.57,7.88,86.67
2021,23,10.42,27.37,6.64,3.43,12.32,6.44,82.68
2021,24,12.2,27.16,8.2,3.43,10.65,6.32,82.24
2021,25,8.5,27.42,5.74,7.64,9.18,5.95,81.03
2021,26,14.65,24.79,1.29,4.37,10.91,3.91,72.39
2021,27,16.06,23.91,0,1.49,15.02,2.86,62.27
2021,28,16.06,24.52,0.17,2.45,14.83,7.44,72
2021,29,12.32,27.77,11.86,4.38,12.66,8.39,83.83
2021,30,16.45,24.13,0.3,1.49,15.97,6.98,68.46
2021,31,12.08,26.77,0,2.03,18.43,7.06,52.9
2021,32,6.96,29.27,0.67,1.11,19.7,10.85,53.72
2021,33,10.46,28.71,0,1.59,21.81,12.8,53.71
2021,34,13.35,26.64,0,1.74,20.48,10.37,61.93
2021,35,17.19,23.65,0,1.85,17.72,7.4,65.69
2021,36,17.99,24.04,0,2.11,21.6,6.13,48.75
2021,37,16.45,25.04,0,1.55,23.33,7.96,42.31
2021,38,16.85,25.25,0,1.44,22.73,10.09,45.52
2021,39,16.21,26.62,0,1.24,19.22,7.13,63.52
2021,40,10.15,28.69,0,1.43,13.08,6.3,83.88
2021,41,16.14,27,0,2.21,16.77,5.16,76.92
2021,42,16.34,26.67,0.01,1.64,21.1,7.96,66.69
2021,43,10.96,27.25,1.1,3.45,13.42,6.29,86.96
2021,44,11.37,27.27,0.02,3.41,14.53,5.9,85.2
2021,45,16.54,24.97,0,3.11,17.15,6.93,69.4
2021,46,14.41,26.5,0.08,1.83,16.42,7.09,72.98
2021,47,13.66,26.88,0.22,3.31,17.59,5.93,79.74
2021,48,19.6,24.03,0.01,2.48,18.13,4.44,64.82
2021,49,20.6,22.22,0,4.51,17.24,5.64,34.01
2021,50,20.24,23.05,0,2.54,23.65,6.36,34.49
2021,51,18.9,24.16,0,2.75,17.88,6.85,58.67
2021,52,20.86,22.15,0,5.09,19.51,8.29,32.89
2021,53,21.99,21.27,0,2.55,23.55,7.52,34.01
2021,54,21.79,21.89,0,1.49,24.63,11.31,39.52
2021,55,21.15,24.45,0,1.3,22.3,8.79,50.48
2021,56,21.24,24.57,0,3.24,21.45,7.05,34.92
2021,57,21.87,22.73,0,1.88,23.03,6.2,40.05
2021,58,21.55,23.79,0,1.89,20.79,5.77,64.54
2021,59,20.58,22.35,0,4.59,17.92,6.64,35.83
2021,60,22.6,22,0,3.23,20.37,5.67,27.31
2021,61,22.05,21.74,0,2.33,21.53,5.69,40.1
2021,62,11.97,27.12,7.61,5.06,13.59,5.17,87.09
2021,63,21.23,24.93,0.36,1.46,19.01,8.68,67.07
2021,64,22.52,24.41,0,2.03,23.83,7.9,53.7
2021,65,22.82,24.81,0.02,3.12,21.98,6.89,70.59
2021,66,14.49,27.56,0.07,2.23,17.28,5.11,75.7
2021,67,20.15,26.11,0.02,2.73,14.32,6.66,74.37
2021,68,21.93,24.37,0.07,3.89,13.82,4.53,80.53
2021,69,16.2,26.6,7.63,3.85,12.96,4.99,83.33
2021,70,18.7,26.1,3.91,2.89,10.82,5.16,81.9
2021,71,16.59,25.64,2.11,2.36,11.46,3.93,79.23
2021,72,16.8,26.4,0.59,3.18,12.91,4.12,82.87
2021,73,22.12,24.99,0.01,2.6,16.62,4.44,78.18
2021,74,15.96,27.21,1.33,4.41,14.31,4.95,79.23
2021,75,21.44,24.37,0.13,3.45,15.45,4.23,72.12
2021,76,24.66,23.19,0,1.68,19.78,4.05,58.39
2021,77,24.24,23.48,0,1.68,20.99,7.69,48.13
2021,78,24.27,24.89,0,2.61,25.58,8.7,49.09
2021,79,24.1,25.14,0,3.19,21.03,6.43,64.54
2021,80,24.87,23.18,0,3.13,15.77,5.47,66.85
2021,81,25.33,24.32,0,2.61,20.03,4.39,64.99
2021,82,12.42,28.57,0.73,3.95,12.65,7.38,86.23
2021,83,25.56,24.08,0.01,2.07,19.28,4.5,62.07
2021,84,21.38,26.58,3.19,4.09,13.55,5.2,82.08
2021,85,20.33,26.32,1.11,3.17,13.98,6.87,75.13
2021,86,26.7,23.5,0,2.45,23.23,5.73,41.57
2021,87,26.63,23.42,0,2.08,27.1,9.54,33.21
2021,88,23.78,26.01,0,1.6,23.74,10.48,41.41
2021,89,26,25.81,0,1.22,24.45,7.52,51.06
2021,90,25.45,25.29,0,2.16,27.35,11.99,24.16
2021,91,25.52,25.67,0,2.38,26.49,11.23,39.99
2021,92,26.3,25.39,0,2.26,24.52,9.64,57.22
2021,93,26.24,26,0,2.78,28.8,10.39,37.37
2021,94,25.72,26.67,0,3.21,30,11.63,34.24
2021,95,26.32,25.9,0,3.01,24.17,10.91,48.26
2021,96,23.4,26.04,0,2.32,22.76,9.82,56.81
2021,97,26.04,26.54,0,2.26,28.36,13.13,35.31
2021,98,26.79,25.49,0,3.13,24.31,12.06,45.86
2021,99,27.25,26.17,0,1.65,25.7,9.42,52.78
2021,100,25.27,27.48,0,2.43,25.96,10.56,51.62
2021,101,21.05,28.91,0,2.11,24.1,9.11,55.02
2021,102,22.07,29.39,0,2.2,23.13,8.37,68.11
2021,103,18.31,30.2,0,2.58,16.45,8.15,75.46
2021,104,25.31,25.64,0,2.91,16.79,7.04,67.48
2021,105,27.55,25.03,0,3.03,18.94,6.71,56.88
2021,106,24.17,27.04,0,2.74,21.15,8.47,58.27
2021,107,27.75,26.02,0,2.18,22.5,6.84,55.3
2021,108,28.03,26.6,0,3.02,25.51,11.51,28.6
2021,109,29.6,24.84,0,2.03,28.65,11.23,27.54
2021,110,27.36,27.93,0.01,2.55,23.03,8.23,47.41
2021,111,22.1,29.59,0.03,3.55,17.07,7.91,76.03
2021,112,17.56,30.64,0.05,3.34,17.72,9.49,79.84
2021,113,24.21,28.9,0.02,3.17,20.84,8.62,71.02
2021,114,26.63,26.03,0,2.71,22.03,8.65,62
2021,115,27.72,26.54,0,2.93,19.75,7.79,63.48
2021,116,14.87,28.29,0.9,2.73,14.37,8.29,80.28
2021,117,20.77,27.07,0.31,3.25,16.19,7.7,69.28
2021,118,29.69,24.97,0,2.53,25.37,6.7,50.97
2021,119,30.65,25.55,0,1.85,30.91,12.26,27.07
2021,120,28.69,26.39,0,1.95,33.2,17.93,23.21
2021,121,24.44,29.12,0.02,2.37,26.65,10.3,38.92
2021,122,18.31,29.74,0.04,3.61,16.96,9.87,73.81
2021,123,28.25,27.69,0.04,2.52,26.59,9.02,57.12
2021,124,25.28,29.53,0,1.95,28.87,12.79,35.99
2021,125,24.44,30.32,0,1.64,30.09,15.06,35.35
2021,126,21.8,30.13,0,1.94,24.51,10.58,56.64
2021,127,23.09,29.42,0,2.25,23.91,9.48,61.54
2021,128,28.23,28.1,0,2.05,23.11,8.94,61.92
