-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2018,,,,,,,,
Location: latitude  26.91   longitude -109.62 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 135.61 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2018,303,14.54,34.2,0,1.46,30.34,20.55,66.48
2018,304,17.29,32.89,0.22,1.87,29.7,20.5,68.74
2018,305,19.11,31.64,0,1.51,29.28,18.28,59.28
2018,306,18.94,32.01,0,1.34,31.34,16.5,53.63
2018,307,18.7,32.29,0,1.46,30.89,18.27,60.45
2018,308,18.8,31.85,0,1.34,31.07,18.27,60.75
2018,309,18.8,31.38,0,1.17,31.23,19.13,52.05
2018,310,18.46,31.6,0,1.37,31.86,17.89,50.67
2018,311,18.55,31.39,0,1.36,32.45,18.76,48.83
2018,312,18.36,31.2,0,1.45,32.61,18.13,49.74
2018,313,18.07,31.31,0,1.57,31.93,18.9,53.11
2018,314,17.55,32.45,0,1.59,30.05,17.37,59.45
2018,315,9.37,34.13,0,1.44,29.49,19.1,62.44
2018,316,18,30.52,0,2.46,29.28,15.59,56.04
2018,317,18.15,29.34,0,3.53,29.75,12.79,34.64
2018,318,18.04,28.27,0,3.14,29.69,11.27,31.28
2018,319,17.8,29.48,0,1.67,28.06,11.57,42.38
2018,320,14.65,30.76,0,1.35,27.81,15.27,45.63
