-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2021,,,,,,,,
Location: latitude  19.27   longitude -99.63 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2021,1,19.78,20.18,0,1.77,20.45,0.33,56.13
2021,2,19.87,20.94,0,0.7,22.5,4.98,36.46
2021,3,19.92,21.19,0,1.4,22.05,3.54,48.88
2021,4,19.26,21.67,0,0.73,21.02,5.95,35.84
2021,5,19.13,22.41,0,0.64,20.58,4.84,51.99
2021,6,16.81,23.71,0,1.18,19.96,5.27,59.4
2021,7,13.54,24.44,0.02,0.66,19.01,4.71,65.22
2021,8,15.29,25.53,0.03,0.65,19.04,6.65,59.96
2021,9,15.03,24.87,0.45,1.06,18.55,5.06,70.17
2021,10,15.04,25.28,0.24,1.3,18.42,5.85,68.4
2021,11,15.52,24.61,0.26,1.47,14.94,4.72,78.88
2021,12,16.94,24.1,0.06,1.42,19.41,5.26,64.81
2021,13,15.55,25.35,0.09,1.11,19.06,5.04,62.36
2021,14,12.32,26.45,0,1.29,20.09,6.12,58.09
2021,15,15.35,25.86,0.03,0.72,20.92,6.6,50.16
2021,16,14.04,26.48,1.38,0.83,18.75,7.39,71.03
2021,17,10.08,27.04,2.14,0.99,15.68,6.89,75.9
2021,18,18.24,24.17,0.04,0.54,20.13,5.98,62.11
2021,19,17.4,25.13,0.01,0.59,20.58,7.22,62.55
2021,20,16.3,25.8,0.62,0.76,19.47,7.03,73.51
2021,21,19.82,24.04,0.06,0.6,23.46,7.09,56.69
2021,22,19.22,24.26,0.02,0.69,23.59,8.43,51.1
2021,23,17.02,25.75,0.01,0.59,22.55,9.65,56.94
2021,24,15.27,24.63,0,0.95,22.77,8.25,59.34
2021,25,20.82,23.39,0,1.5,22.69,5.94,52.89
2021,26,21.04,23.81,0,0.96,24.67,7.47,38.64
2021,27,19.63,24.61,0.23,2.11,22.95,4.93,50.71
2021,28,19.06,24.23,0.14,1.53,20.89,3.51,67.11
2021,29,20.38,23.78,0.01,0.54,22.6,3.53,59.67
2021,30,20.26,23.67,0,1.19,23.44,6.66,46.08
2021,31,21.49,22.73,0.16,1.98,23.15,5.67,51.54
2021,32,18.39,24.5,0.3,2.01,18.97,4.88,67.58
2021,33,22.49,22.6,0,1.04,22.37,2.04,52.93
2021,34,22.48,22.37,0,0.89,24.36,4.06,35.37
2021,35,22.88,22.42,0,0.9,24.95,7.24,32.37
2021,36,22.66,22.6,0,1.14,25.51,8.35,37.48
2021,37,22.31,22.42,0,1.66,24.74,5.98,43.26
2021,38,22.1,21.97,0,1.44,23.32,6.16,53.43
2021,39,22.17,21.4,0,1.3,23.51,6.55,41.52
2021,40,19.88,23.67,0.06,0.44,23.02,5.82,47.58
2021,41,16.38,25.64,0.33,0.79,22.12,7.4,55.68
2021,42,19.23,23.69,0.11,1.69,20.07,4.92,55.28
2021,43,20.12,22.69,3.63,1.85,18.55,4.1,51.7
2021,44,23.6,19.83,4.04,2.27,18.03,0.17,53.66
2021,45,23.78,19.95,0.19,2.31,20.64,0.01,37.42
2021,46,23.8,20.47,0.02,2.19,21.66,1.26,34.56
2021,47,24,20.99,0,2.37,21.7,1.59,39.12
2021,48,21.77,21.67,0,2.15,22.2,2.15,33.72
2021,49,24.51,20.98,0.01,1.41,24.67,4.34,32.57
2021,50,24.49,21.83,0.01,0.89,23.43,4.04,45.25
2021,51,24.22,22.6,0,0.85,24.01,4.09,41.65
2021,52,24.07,22.62,0,1.18,24.36,4.57,41.87
2021,53,21.16,24.21,0,1.51,22.74,4.93,47.51
2021,54,23.59,23.08,0.01,0.73,23.95,4.11,53.2
2021,55,21.61,23.83,0,1.22,24.7,6.64,45.69
2021,56,24.59,22.75,0,0.65,25.72,6.2,40.24
2021,57,24.42,23.21,0,0.92,26.49,7.06,40.28
2021,58,24.48,23.54,0,0.66,26.94,8.33,36.03
2021,59,24.44,23.96,0.16,0.9,27.48,8.03,37.42
2021,60,23.75,24.84,1.56,0.96,28.15,9.07,44.14
2021,61,22.73,26.19,0.13,0.75,25.39,9.02,57.95
2021,62,21.77,25.86,0.1,0.92,26.01,7.91,45.62
2021,63,24.5,24.3,0.1,0.94,27.11,7.81,43.94
2021,64,24.1,24.27,0.01,1.46,27.65,8.39,40.1
2021,65,19.52,26.67,1.08,0.98,24.68,7.06,60.59
2021,66,20.93,25.68,0.81,1.08,26.75,6.65,55.21
2021,67,23.03,25.44,0.09,1.34,24.98,5.6,55.23
2021,68,26.26,23.34,0.06,1.2,25.21,4.2,49.59
2021,69,26.29,23.25,0,1.28,26.55,6.01,33.36
2021,70,25.87,24.08,0,0.82,26.99,6.71,35.4
2021,71,25.49,23.87,6,0.7,26.63,7.96,44.1
2021,72,25.11,24.43,0.49,0.67,27.11,7.29,48.06
2021,73,23.54,25.36,0.46,0.82,26.68,8.03,44.73
2021,74,22.04,25.93,0.21,0.78,26.28,9.93,42.68
2021,75,24.93,24.38,0.12,1.07,25.88,8.85,42.11
2021,76,25.3,24.09,0.15,0.73,26.36,7.28,42.39
2021,77,21.69,26.46,1.09,1.32,23.09,7.45,52.14
2021,78,19.15,27.14,0.35,1.25,23.47,6.05,51.13
2021,79,21.28,26.75,1.01,0.74,24.17,4.4,47.57
2021,80,22.71,26.25,0.14,1.16,24.28,6.86,49.31
2021,81,25.94,23.45,0.02,1.54,26.28,6.83,42.92
2021,82,28.47,22.18,0,1.57,27.04,7.79,28.45
2021,83,28.18,22.44,0,1.57,26.32,7.52,28.37
2021,84,27.35,23.4,0,0.41,28.09,7.81,24.5
2021,85,26.23,23.98,0,0.47,27.15,8.63,31.33
2021,86,26.43,25.09,0,0.49,27.84,8.12,37.74
2021,87,25.92,25.28,7.11,2.24,28.97,8.98,47.9
2021,88,18.94,27.63,0.98,0.54,24.04,8.9,66.26
2021,89,25.73,25.82,0,1.2,25.22,10.58,53.78
2021,90,23,26.07,0.01,1.94,27.57,9.54,49.21
2021,91,24.41,26.31,0.47,3.34,20.65,7.45,67.37
2021,92,22.47,27.17,0.14,1.93,23.53,5.88,61.2
2021,93,26.67,26.07,0.01,1.3,24.83,5.73,55.81
2021,94,27.34,25.29,0.01,1.38,24.97,6.1,47.14
2021,95,18.96,26.63,0.17,1.13,24.61,6.79,54.66
2021,96,17.59,26.99,3.33,1.02,22.54,7.08,61.42
2021,97,26.07,25.65,0.12,1.25,25.97,8.17,50.87
2021,98,23.34,26.69,1.35,0.71,27.29,9.74,39.72
2021,99,25.49,25.64,0.4,1.32,27.03,8.45,42.24
2021,100,26.72,25.11,0.02,1,27.92,9.23,35.36
2021,101,24.75,25.99,0,1.13,27.4,9.61,33.85
2021,102,22.12,27.55,0.11,0.87,27.39,10.5,32.04
2021,103,19.76,28.94,1.77,0.32,26.7,10.78,47.33
2021,104,17.81,28.63,2.58,0.74,26.76,9.55,49.34
2021,105,22.35,27.05,0.18,0.8,27.54,9.99,42.54
2021,106,24.54,26.13,0.17,1.23,28.13,9.36,33.37
2021,107,25.94,24.45,0.01,1.18,28.4,10.86,30.21
2021,108,29.23,22.22,0.04,1.6,27.47,8.86,23.32
2021,109,30.38,20.41,0,2.1,26.71,7.6,23.82
2021,110,28.35,22.64,0.01,1.07,26.64,8.66,24.02
2021,111,27.69,23.54,0.01,0.58,26.93,7.81,36.71
2021,112,24.18,25.23,0,0.94,27.22,8.66,38.15
2021,113,23.95,25.54,0,1.25,27.5,9.43,29.25
2021,114,24.92,27.46,0.11,0.88,28.43,10.44,37.89
2021,115,22.98,28.9,1.46,0.89,28.85,9.78,50.32
2021,116,21.15,28.71,1.52,0.45,28.52,11.13,45.06
2021,117,24.24,27.76,0.13,0.71,29.33,10.43,40.88
2021,118,23.69,28.01,3.28,0.81,29.49,11.56,41.74
2021,119,23.12,27.46,1.94,0.95,28.51,11.61,53.82
2021,120,19.64,28.19,1.75,0.55,25.89,10.83,60.19
2021,121,21.38,27.18,2,1.51,24.93,10.62,59.52
2021,122,25.77,25.75,0.34,1.52,26.58,9.28,46.45
2021,123,30.31,22.72,0.01,1.95,26.74,7.71,33.82
2021,124,28.28,25.03,0.03,1.2,27.53,7.61,36.72
2021,125,18.7,29.47,8.86,1.42,25.31,7.91,57.39
