-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2017,,,,,,,,
Location: latitude  19.31   longitude -99.61 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2017,1,14.42,24.87,0.04,0.66,19.87,5.83,66.86
2017,2,19.67,22.23,0,0.57,21.75,6.59,52.14
2017,3,19.38,22.36,0,0.85,22.08,4.2,60.69
2017,4,19.75,22.26,0,0.97,22.98,5.3,50.36
2017,5,19.43,22.02,0,0.97,23.1,6.7,43.46
2017,6,19.05,22.11,0.01,0.99,22.69,6.1,49.02
2017,7,17.16,23.42,0.02,0.99,20.93,2.85,67.77
2017,8,17.55,23.52,0.03,1.05,18.16,1.02,68.99
2017,9,20.66,21.66,0.01,0.54,18.81,-0.82,56.36
2017,10,20.53,21.46,0,0.53,19.59,2.9,46.94
2017,11,17.74,23.34,0,0.7,19.03,4.71,43.61
2017,12,19.19,22.24,0,0.85,20.21,4.56,45.84
2017,13,19,22.34,0,0.87,19.72,3.66,53.28
2017,14,19.39,22.34,0,0.39,19.44,3.57,57.73
2017,15,19.84,21.91,0,0.99,19.51,3.95,50.06
2017,16,19.71,22.21,0,0.54,20.56,6.38,49.55
2017,17,16.62,23.64,0,1.14,20.18,3.76,58.19
2017,18,18.92,22.06,0,0.86,20.4,4.92,54.39
2017,19,17.63,23.31,0,1.39,20.5,5.09,55.67
2017,20,18.82,22.51,0,2.1,19.69,3.5,55.37
2017,21,21.68,21.36,0,1.77,21.53,4.28,46.85
