-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2018,,,,,,,,
Location: latitude  19.31   longitude -99.61 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2018,1,16.29,24.75,0.5,1.05,17.36,3.97,72.25
2018,2,14.85,25.48,0.72,0.45,19.08,3.76,70.43
2018,3,15.75,24.71,0.01,0.92,19.62,5.34,65.58
2018,4,16.4,24.69,0,0.79,19.62,3.52,66.58
2018,5,17.51,24.36,0,1.17,20.15,4.41,61.32
2018,6,19.6,21.93,0,1.15,19.31,4.58,60.57
2018,7,19.75,21.87,0,0.78,20.67,2.18,51.81
2018,8,19.43,21.58,0,1.55,18.58,2.47,52.81
2018,9,20.29,21.38,0,0.61,21.37,1.79,48.88
2018,10,20.14,22.1,0,1.19,22.14,2.94,48.23
2018,11,20.51,21.56,0,1.47,22,2.83,54.11
2018,12,20.79,21.47,0,1.13,19.76,0.63,53.06
2018,13,20.81,20.66,0,1.49,18.42,-0.98,45.73
2018,14,20.91,20.95,0,1.07,16.47,-2.6,56.65
2018,15,20.84,20.41,0,0.49,19.12,-1.05,37.19
2018,16,20.5,20.63,0.1,1.32,18.89,1.55,44.86
2018,17,19.31,22.28,0.02,0.56,18.75,-0.09,60.75
2018,18,19.04,22.93,0,0.48,17.6,3.54,56.82
