-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2021,,,,,,,,
Location: latitude  19.38   longitude -100.15 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2459.93 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2021,1,20.24,22.1,0,2.08,20.05,1.92,55.26
2021,2,20.35,22.8,0,1.15,22.49,6.51,31.1
2021,3,19.86,23.57,0,1.72,21.26,4.51,46.06
2021,4,20.01,23.89,0,1.2,21.02,6.4,35.88
2021,5,19.51,24.55,0,1.24,20.84,6.2,43.1
2021,6,18.03,26.03,0,1.43,19.25,6.53,60.32
2021,7,15.52,26.26,0,1.36,19.64,5.03,64.52
2021,8,16.45,27.09,0.02,0.87,19.82,7.48,58.98
2021,9,16.07,26.6,0.25,1.84,18.45,5.81,73.07
2021,10,14.66,27.85,0.08,1.64,18.18,6.89,71.34
2021,11,17.33,26.03,0.03,2.07,16.9,6.17,73.32
2021,12,16.32,26.3,0,1.86,19.51,6.15,68.51
2021,13,16.21,27.64,0.02,1.33,19.41,7.42,61.45
2021,14,11.47,28.81,0,1.46,19.71,7.26,56.09
2021,15,18.13,27.06,0,1.17,21.55,8.17,48.34
2021,16,13.22,28.1,0.43,1.31,18.68,8.06,71.5
2021,17,11.91,28.97,0.91,1.09,16.47,8.35,73.9
2021,18,18.65,26.34,0.02,1.1,20.63,8.75,58.76
2021,19,18.11,27.3,0.02,0.81,20.25,9.29,63.89
2021,20,16.12,28.22,0.19,1.16,20.94,8.78,70.34
2021,21,20.08,26.17,0.06,1.03,23.62,9.06,57.28
2021,22,20.05,26.62,0.04,0.76,24.16,9.81,52.19
2021,23,18.37,27.64,0.02,0.72,23.26,10.2,58.9
2021,24,16.78,26.75,0,1.2,23.13,9.48,62.45
2021,25,20.99,25.83,0,1.81,21.99,6.75,57.86
2021,26,21.45,25.98,0,1.4,23.81,7.76,46.2
2021,27,20.82,26.65,0.05,2.45,25.07,7.39,47.72
2021,28,19.73,27.03,0.01,1.84,22.99,4.83,59.23
2021,29,19.03,26.98,0,1.17,22.15,5.95,61.09
2021,30,20.57,26.69,0,1.3,24.44,8.02,47.78
2021,31,21.91,25.37,0.02,2.16,24.97,8.07,48.78
2021,32,21.84,25.58,0.02,2.54,22.16,7.99,58.92
2021,33,22.04,25.77,0,1.34,24.18,4.69,50.58
2021,34,22.33,25.36,0,0.86,25.51,6.07,36.11
2021,35,22.7,25.1,0,1.08,25.59,8.66,41.44
2021,36,22.92,24.84,0,1.64,25.06,8.64,49.8
2021,37,23.01,24.55,0,1.76,24.23,6.13,52.47
2021,38,22.87,24.28,0,2.07,23.96,7.14,52.56
2021,39,23.28,23.03,0,1.76,22.88,7.62,45.61
2021,40,22.06,24.47,0.1,1.13,23.74,6.69,47.65
2021,41,20.96,25.64,0.22,1.45,22.17,7.99,56.73
2021,42,21.91,24.95,0.02,2.18,20.12,5.69,55.97
2021,43,19.22,25.41,2.42,2.38,18.68,4.53,57.31
2021,44,24.25,22.24,2.46,2.75,17.46,1.74,57.7
2021,45,24.44,22.48,0.32,2.54,20,1.67,40.79
2021,46,24.54,22.45,0,2.39,20.94,2.13,40.82
2021,47,24.55,22.47,0,2.71,21.09,3.69,41.44
2021,48,24.37,23.17,0,2.35,21.2,3.43,39.51
2021,49,24.87,23.29,0,1.75,23.74,5.49,35.15
2021,50,24.21,24.36,0,1.22,24.23,4.1,43.63
2021,51,24.06,24.81,0,1.04,24.68,4.95,48.91
2021,52,23.99,24.7,0,1.53,24,5.9,46.95
2021,53,21.69,26.77,0,1.25,23.8,6.45,46.49
2021,54,23.39,26.01,0.01,0.83,25.05,6.17,49.57
2021,55,22.57,26.07,0,0.85,25.8,8.88,40.16
2021,56,24.66,25.34,0,0.95,26.22,8.44,40.16
2021,57,24.68,26.02,0,1.09,26.63,8.96,42.47
2021,58,24.98,25.93,0,1.15,27.22,9.15,41.44
2021,59,25.07,26.22,0,1.42,26.98,9.14,40.72
2021,60,25.57,26.08,1.03,1.32,28.19,10.32,40.75
2021,61,23.7,27.05,0,1.81,25.44,10.13,54.9
2021,62,23.99,27.28,0.16,0.93,26.72,8.87,46.36
2021,63,24.31,26.97,0.15,0.83,28.04,10,43.26
2021,64,26.03,25.91,0.01,1.37,28.6,10.96,37.19
2021,65,24.23,27.07,1.32,1.69,25.46,8.4,55.27
2021,66,24.1,27.14,0.43,1.51,26.67,7.83,54.32
2021,67,25.2,27.31,0.03,1.58,26.39,8.72,49.97
2021,68,25.78,27.1,0.13,1.12,27.04,7.18,47.21
2021,69,26.23,26.69,0,0.68,27.65,8.83,35.24
2021,70,25.67,26.8,0,0.78,27.51,9.75,35.28
2021,71,25.63,26.71,3.91,0.96,27.39,10.16,40.48
2021,72,25.66,26.7,0.89,1.54,27.38,9.55,45.94
2021,73,26.31,26.57,0.51,1.47,26.53,10.1,45.42
2021,74,25.53,27.28,0.12,1.49,26.41,11.06,44.91
2021,75,26.8,25.52,0.15,1.83,25.66,9.99,42.28
2021,76,27.83,24.71,0.04,1.41,26.38,7.98,41.91
2021,77,24.23,27.84,1.68,1.35,24.85,7.63,50.81
2021,78,20.52,30.02,0.56,1.3,23.22,7.89,56.59
2021,79,22.8,28.66,1.65,1.1,24.07,7.78,48.8
2021,80,25.14,27.79,0.12,1.64,24.5,7.84,51.39
2021,81,28.07,24.9,0.01,2.18,25.49,8.15,44.32
2021,82,28.73,24.3,0,2.01,26.44,8.09,33.57
2021,83,28.61,24.5,0,2.11,25.66,8.22,35.1
2021,84,28.02,25.9,0,1.34,28.13,8.24,30.05
2021,85,28.31,25.64,0,1.06,27.7,9.94,31.36
2021,86,28.11,26.16,0,1.13,28.41,10.26,31.81
2021,87,27.65,27.09,4.41,1.71,30.5,10.59,46.13
2021,88,20,29.73,0.86,1.28,24.34,10.41,62.65
2021,89,25.44,28.54,0,0.75,26.67,10.99,49.13
2021,90,24.45,28.63,0,1.89,29.05,11.87,43.86
2021,91,28.09,26.84,0.01,4.4,23.66,9.77,56.95
2021,92,25.42,28.66,0,1.86,25.92,7.43,51.53
2021,93,23.93,29.15,0,1.34,26.31,8.55,49.76
2021,94,26.41,28.07,0.01,1.37,25.83,8.53,45.61
2021,95,23.29,28.47,0.27,1.73,24.26,7.67,55.34
2021,96,23.85,28.23,4.5,1.81,23.21,8.39,63.34
2021,97,27.78,27.27,0.03,1.11,26.63,9.36,47.85
2021,98,26.88,27.37,1.08,1.38,27.7,11.61,35.29
2021,99,28.17,26.52,0.16,2.01,26.76,10.6,38.77
2021,100,29.19,25.82,0.05,1.67,28.2,9.06,37.08
2021,101,28.77,26.52,0,1.83,27.53,10.23,34.77
2021,102,27.85,26.92,0.06,1.62,27.63,11.75,32.63
2021,103,26.24,28.73,0.96,1.05,27.92,12.28,42.43
2021,104,25.09,29.42,1.38,1.04,28.01,11.99,43.29
2021,105,27.11,27.97,0.17,1.42,28.29,11.89,35.29
2021,106,27.61,27.25,0.01,1.91,28.52,10.7,33.97
2021,107,29.15,25.75,0,2.09,28.1,10.9,29.89
2021,108,29.96,24.52,0,2.28,27.23,9.38,20.26
2021,109,30.45,23.51,0,2.71,26.66,9.08,23.64
2021,110,29.47,24.69,0,1.92,26.89,8.6,23.6
2021,111,29.78,25.02,0,1.48,27.44,7.88,29.29
2021,112,28.05,25.97,0,1.81,27.05,9.63,26.85
2021,113,26.54,27.57,0,2.01,27.33,10.49,33.35
2021,114,27.84,28.58,0.02,1.21,28.49,10.74,41.61
2021,115,25.09,30.03,1.9,0.87,29.77,11.54,48.57
2021,116,21.53,30.79,1.9,1.03,28.9,12.69,42.48
2021,117,26.93,29.21,0.16,1.55,29.14,11.96,42.55
2021,118,26.9,29.01,1.93,1.74,28.68,11.79,46.04
2021,119,27.2,28.4,1.54,1.53,27.88,11.4,56.07
2021,120,25.94,29,1.08,1.45,27.36,12.21,55.5
2021,121,23.4,29.26,0.15,2.5,25,11.73,57.6
2021,122,29.6,26.97,0.03,2.34,26.66,9.86,45.26
2021,123,30.81,24.86,0.01,2.71,25.81,8.63,35.46
2021,124,30.52,24.92,0.05,1.66,27.01,8.18,34.23
2021,125,23.17,29.71,6.37,1.9,26.92,8.77,50.51
2021,126,22.98,30.92,0.84,2.16,26.68,9.56,54.67
