-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2015,,,,,,,,
Location: latitude  20.72   longitude -103.49 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1571.72 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2015,1,14.78,28.33,0,1.13,23.99,12.28,70.91
2015,2,15.05,27.21,0,2.01,22.71,10.82,71.42
2015,3,14.16,28.08,0,1.52,22.89,10.03,65.55
2015,4,10.8,28.74,0,1.89,22.93,9.8,65.81
2015,5,7.66,28.33,0,3.08,16.33,9.86,60.56
2015,6,14.19,28.15,0,2.13,21.18,9.97,58.45
2015,7,17.92,27.2,0,2.38,24.56,9.72,63.14
2015,8,14.37,27.76,0.09,2.11,21.95,11.64,64.58
2015,9,14.84,27.26,0.15,0.93,23.05,9.99,61.7
2015,10,17.85,25.99,0.03,1.37,23.89,8.21,63.8
2015,11,19.84,24.33,0,1.07,24.6,8.56,52.81
2015,12,17.7,25,0,1.35,25.7,6.7,46.62
2015,13,14.14,26.61,0,1.09,23.21,10.49,42.26
2015,14,17.97,26.65,0,1.13,24.21,10.66,47.13
2015,15,18.58,26.16,0,0.94,25.19,9.56,50.74
2015,16,19.33,25.54,0,1.42,26.35,8.45,56.14
2015,17,18.16,27.22,0,1.12,26.34,11.31,53.2
2015,18,18.01,27.96,0,1.31,26.2,9.83,53.67
2015,19,18.89,26.94,0,1.18,26.08,13.21,53.51
2015,20,19.58,27,0,1.21,26.86,10.55,56.85
2015,21,18.81,27.73,0,1.53,25.62,11.47,63.74
2015,22,16.45,27.59,0.24,1.69,24.19,10.38,67.75
2015,23,18.4,27.61,0.07,1.23,25.19,10.64,66.58
2015,24,15.2,28.3,0,1.54,23.94,10.71,69.32
2015,25,11.15,29.3,0.19,1,21,11.97,69.08
2015,26,11.04,30.36,0.16,1.37,24.86,10.84,55
2015,27,19.51,27.45,0,1.3,27.97,11.57,45.88
2015,28,18.18,27.94,0,1.5,26.43,11.32,48.59
2015,29,19.72,27.85,0.01,1.39,29.32,9.31,48.77
2015,30,17.24,27.99,0.07,1.95,24.44,11.55,64.36
2015,31,15.86,28.19,1.49,2.09,22.77,11.45,72.65
2015,32,11.14,29.88,4.35,1.63,19.37,10.43,78.31
2015,33,6.4,29.84,5.17,2.51,18.28,10.63,78.81
2015,34,13.43,28.59,3.75,2.41,20.19,11.05,78.9
2015,35,22.2,24.71,0.02,1.12,24.49,8.27,61.73
2015,36,17.86,26.94,0,1.72,24.53,7.23,47.81
2015,37,15.7,27.38,0,1.73,25.03,8.82,51.54
2015,38,21.82,25.59,0,1.26,27,5.95,43.85
2015,39,22.24,25.22,0,1.04,27.98,10.57,44.28
2015,40,22.51,25.11,0,1.49,27.69,8.22,42.74
2015,41,20.76,26.49,0,1.5,26.82,7.13,54.09
2015,42,16.76,28.77,0,0.68,24.08,12.28,65.71
2015,43,17.1,28.25,4.51,0.79,21.78,12.76,65.75
2015,44,6.72,28.9,3.21,1.61,17.37,10.92,80.5
2015,45,9.35,28.77,0.26,1.22,19.93,10.32,76.93
2015,46,10.29,29.86,0.31,1.39,19.84,11.44,74.48
2015,47,14.65,28.74,0.01,1.41,20.91,11.44,69.87
2015,48,19.45,28.07,0,0.78,24.63,11.1,60.69
2015,49,23.49,26.69,0,1.63,28.57,10.95,50.93
2015,50,23.28,27.24,0,0.99,29,11.45,60.23
2015,51,22.26,26.78,0,1.47,28.07,12.29,61.91
2015,52,24.02,26.39,0,0.97,28.76,10.23,53.39
2015,53,21.12,28.74,0,0.94,29.53,10.68,50.34
2015,54,22.27,29.68,0.05,1.37,31.94,13.67,47.47
2015,55,22.65,28.03,0,1.51,29.9,13.98,57.7
2015,56,24.89,25.47,0,1.91,28.57,11.37,51.35
2015,57,24.73,25.13,0,2.23,26.42,10.25,51.42
2015,58,24.59,24.61,0,1.94,27.08,10.17,46.67
2015,59,23.49,25.83,0,1.28,28.39,8.79,42.96
2015,60,24.91,26.17,0,1.17,29.26,10.88,43.89
2015,61,24.75,26.66,0,1.19,29.55,12.53,45.16
2015,62,25.29,25.81,0,1.61,28.94,11.9,39.62
2015,63,18.8,29.05,0,1.68,28.1,11.76,44.36
2015,64,15.45,31.39,0,1.01,25.75,13.57,49.01
2015,65,21.66,30.13,0.02,1.64,28.39,11.59,53.18
2015,66,22.03,29.9,0.01,1.75,27.86,14.36,53.65
2015,67,19.24,30.45,0,1.48,27.96,15.24,52.11
2015,68,10.49,29.96,0.48,1.14,20.11,12.53,65.71
2015,69,9.68,29.42,8.51,1.08,20.22,9.6,75.15
2015,70,17.95,27.61,1.79,1.39,22.05,8.29,65.76
2015,71,25.91,25.19,0.11,1.8,24.72,7.85,54.47
2015,72,21.7,27.57,1.24,2.66,24.4,10.66,54.06
