-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2012,,,,,,,,
Location: latitude  31.74   longitude -116.55 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 582.51 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2012,275,21.54,30.38,0,1.41,36.54,22.87,23.37
2012,276,21.96,29.22,0,1.73,35.16,22.1,24.81
2012,277,21.21,29.63,0,1.71,31.47,20.09,36.35
2012,278,21.67,28.47,0,1.74,27.83,16.45,46.39
2012,279,19.66,28.59,0,2.18,27.02,14.92,58.17
2012,280,20.82,28.64,0,2.92,30.02,15.15,53.36
2012,281,19.56,30.41,0,2.51,27.48,15.59,63.5
2012,282,19.99,29.61,0.22,2.45,26.87,14.38,72.24
2012,283,20.13,29.17,0.01,2.75,25.63,12.85,73.7
2012,284,19.59,28.99,0,3,22.26,12.24,74.96
2012,285,14.21,29.61,4.35,3.47,18.31,11.05,77.75
2012,286,18.28,28.85,0.93,2.86,19.88,11.22,71.89
2012,287,20.17,27.78,0,1.46,26.13,10.85,52.91
2012,288,19.64,29.6,0,1.89,29.84,14.97,43.18
2012,289,16.27,31.82,0,1.64,30.18,16.61,36.58
2012,290,17.1,31.64,0,1.32,32.19,18.78,29.74
2012,291,16.95,31.34,0,3.34,31,18.04,45.87
2012,292,15.64,32.23,0,2.66,25.86,16.59,72.13
2012,293,18.29,29.96,0.02,1.97,27.61,16.39,73.25
2012,294,8.84,33.37,0.06,2.86,21.84,13.96,82.37
2012,295,10.72,32.72,0.5,3.57,19.53,13.93,84.31
2012,296,16.06,29.6,0.15,2.76,20.2,12.33,76.93
2012,297,16.59,27.78,0,3.18,19.8,11.91,67.82
2012,298,18.75,25.77,0,3.56,23.3,10.36,60.69
2012,299,18.55,26.59,0,2,26.53,11.01,33.11
