-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2019,,,,,,,,
Location: latitude  26.91   longitude -109.62 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 135.61 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2019,303,18.56,32.71,0,1.12,29.06,19.34,59.51
2019,304,19.1,31.89,0,2.02,32.95,16.74,52.16
2019,305,18.43,32.1,0,1.54,31.64,16.36,54.78
2019,306,16.47,33.73,0.04,1.62,31.44,20.25,55.19
2019,307,16.34,34.06,0,1.78,31.05,20.9,56.02
2019,308,13.95,34.12,0,1.56,32.22,21.71,58.3
2019,309,17.38,33.36,0,1.96,33.89,21.12,57.51
2019,310,13.88,34.62,0.04,1.86,29.06,21.43,61.11
2019,311,7.74,35.43,0.03,2.23,32.79,21.99,57.13
2019,312,15.67,34.36,0,2.36,34.14,22.23,58.81
2019,313,14.76,34.37,0,1.67,35.88,20.99,55.81
2019,314,8.17,34.95,0.1,2.42,29.13,21.28,62.66
2019,315,12.92,33.7,0.36,1.6,28.91,20.41,66.08
2019,316,16.86,32.44,2.33,1.35,31.04,19.04,63.01
2019,317,15.73,32.81,2.9,1.69,28.54,16.44,63.36
2019,318,17.37,32.2,0,1.73,31.42,16.76,60.28
2019,319,17.42,31.57,0,1.76,32.41,15.63,49.34
2019,320,11.27,34.43,0.01,1.71,29.09,18.81,59.45
2019,321,3.3,35.49,14.11,1.41,28.53,20.62,72.05
2019,322,13.07,35.8,1.75,1.89,30.39,21.38,73.38
2019,323,9.43,35.45,10.61,2.31,26.19,21.13,84.04
2019,324,13.99,32.6,3.53,2.17,25.58,17.52,75.84
2019,325,15.52,31.8,1.41,2,26.1,17.2,73.39
2019,326,16.88,30.55,0.02,2.03,27.14,15.56,64.45
2019,327,14.35,30.93,0,1.72,28.28,15.51,55.55
2019,328,13.82,31.5,0,1.65,26,15.42,57.4
2019,329,6.93,33.63,7.88,3.28,28.23,17.18,63.22
2019,330,6.25,33.92,14.06,1.86,21.52,17.27,88.13
2019,331,1.85,34.56,42.84,4.41,21.48,17.92,88.3
2019,332,13.07,33.23,3.54,3.46,24.77,19.3,82.61
2019,333,10.85,32.51,1.35,2.5,23.63,17.81,75.73
2019,334,16.1,30,0.14,1.88,24.52,14.7,70.64
2019,335,16.42,28.74,0,1.73,26.03,14,64.12
2019,336,16.08,29.18,0,1.99,27.03,13.94,61.01
2019,337,15.98,28.68,0,1.23,27.17,14.7,58.49
2019,338,14.51,30.66,0,1.47,26.71,14.39,57.4
2019,339,11.96,32.12,0,1.85,27.12,17.9,58.87
2019,340,15.35,30.48,0,2.55,31.64,18.02,58.85
2019,341,15.42,30.06,0,1.75,30.53,16.85,59.4
2019,342,13.75,31.88,0,0.92,29.52,17.79,64.87
2019,343,8.75,32.56,0.96,1.7,25.52,14.8,78.08
2019,344,16.08,28.02,0,1.91,24.91,12.19,68.16
2019,345,15.69,29,0,1.81,28.32,12.67,58.65
2019,346,15.77,29.15,0,1.82,28.72,15.44,53.82
2019,347,15.73,28.89,0,1.57,28.6,14.84,58.09
2019,348,15.42,29.54,0,1.01,29.21,15.54,60.3
2019,349,14.99,29.88,0,2.06,27.07,13.65,70.22
2019,350,14.49,29.16,0,1.73,25.02,14.2,68.52
2019,351,15.7,28.04,0,1.88,26.68,11.81,55.18
2019,352,15.48,28.65,0,2.52,25.93,10.84,50.66
2019,353,8.39,30.29,0,1.04,20.04,13.59,61.75
2019,354,15.52,28.34,0,1.61,27.27,11.83,54.98
2019,355,15.47,28.81,0,2.53,29.47,12.75,46.36
2019,356,14.7,29.25,0,2.05,27.17,11.93,43.66
2019,357,12.15,30.42,0,1.63,26.84,14.06,50.74
2019,358,4.34,32.54,13.47,1.81,21.7,14.36,80.54
2019,359,11.1,30.13,0.24,1.4,21.32,13.92,81.49
2019,360,15.76,27.81,0.01,1.29,22.08,12.16,76.97
2019,361,8.95,30.25,0.5,1.74,20.56,10.9,79.55
2019,362,13.39,28.36,0.3,1.64,20,10.03,70.51
2019,363,16.13,25.82,0,2.54,21.33,8.09,53.48
2019,364,16.14,26.27,0,1.25,21.28,9.74,54.54
2019,365,12.31,30.37,0.26,1.79,19.02,9.13,74.35
2020,1,11.8,30.98,0.28,1.57,21.77,12.01,72.98
2020,2,14.82,28.68,0.06,1.84,21.03,11.86,76.03
2020,3,16.2,27.04,0,1.69,22.98,9.61,65.31
2020,4,16.43,26.36,0,1.68,25.96,7.73,49.8
2020,5,16.08,27.64,0,1.6,27.51,10.69,52.94
