-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2017,,,,,,,,
Location: latitude  19.38   longitude -100.15 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2459.93 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2017,166,23.21,30.47,2.51,0.83,25.76,13.27,69.12
2017,167,23.38,30.48,1.27,0.56,27.16,12.36,63.26
2017,168,26.82,29.02,0.15,0.99,27.9,11.39,56.81
2017,169,27.19,29.36,0.26,1.21,27.82,9.31,47.41
2017,170,24.86,29.61,0.27,1.63,25.57,11.11,52.22
2017,171,25.19,29.25,0.06,2.54,25.93,9.71,54.6
2017,172,25.23,29.31,0.2,1.08,26.52,8.69,56.84
2017,173,21.7,31.08,0.32,0.71,27.59,11.77,58.37
2017,174,25.17,30.76,0.28,1.21,29.66,11.32,53.76
2017,175,17.47,31.25,5.18,1.1,25.09,11.26,67.25
2017,176,15.57,30.99,5.47,1.73,21.2,12.91,72.95
2017,177,15.96,31.41,4.63,1.29,24.42,11.87,73.62
2017,178,18.48,31.66,11.03,1.93,22.74,12.24,75.22
2017,179,13.88,31.75,7.95,1.07,22.65,12.66,78.39
2017,180,13.35,31.57,10.78,1.21,21.53,12.78,79.21
2017,181,14.78,31.67,9.73,1.24,22.45,12.79,80.38
2017,182,15.38,31.68,12.99,0.95,18.94,12.8,84
2017,183,21.32,31.3,7.28,0.75,22.22,12.28,77.74
2017,184,15.68,31.52,4.2,0.65,23.61,12.17,72.65
2017,185,14.08,31.38,10.18,0.84,19.06,11.98,75.57
