-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2023,,,,,,,,
Location: latitude  20.72   longitude -103.49 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1571.72 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2023,135,26.99,30.04,1.26,1.48,32.61,15.4,47.19
2023,136,25.62,30.97,0.01,1.89,32.67,16.26,45.75
2023,137,26.89,29.49,0.07,1.89,32.97,15.91,45.5
2023,138,27.95,29.9,0.02,1.76,34.18,16.13,43.31
2023,139,19.14,31.76,0,0.86,31.4,17.61,46.94
2023,140,9.19,33.82,0,1.27,29.45,18.58,49.54
2023,141,23.4,32,0.04,1.88,33.85,16,46.99
2023,142,26.55,31.02,0,2,34.67,18.2,41.04
2023,143,28.36,29.99,0,1.95,35.46,19.46,37.52
2023,144,29.68,28.8,0,1.88,35.43,17.1,32.49
2023,145,29.07,28.69,0,1.62,33.98,16.01,33.4
2023,146,28.27,29.73,0,1.74,35.01,16.21,32.78
2023,147,28.27,30.91,0.93,1.85,36.16,16.95,37.67
2023,148,27.81,30.72,7.6,1.86,32.87,16.18,49.02
2023,149,29.05,29.9,7.43,1.65,31.82,15.05,53.69
2023,150,30.55,28.17,6.4,1.42,32.19,13.56,51.42
2023,151,30.19,28.08,0,1.65,33.92,14.41,48.21
2023,152,30.43,27.92,0,1.83,35.58,15.36,42.39
2023,153,31.07,27.66,0.01,1.29,37.73,15.37,37.97
2023,154,30.66,28.13,0.05,1.84,36.61,15.58,36.09
2023,155,30.26,28.7,5.24,2,35.11,16.75,36.74
2023,156,31.12,28.06,0.07,1.75,35.02,14.65,35.78
2023,157,29.63,29.69,0.21,1.58,34.97,14.16,45.33
2023,158,29.37,29.61,7.07,1.51,33.51,16.22,57.97
2023,159,30.56,28.09,2.65,1.8,33.6,16.01,51.07
2023,160,30.82,28.24,0,1.32,36.26,14.93,37.12
2023,161,30.17,29.31,0,1.8,36.68,16.28,41.23
2023,162,30.54,28.96,0,1.54,37.78,15.96,42.1
2023,163,30.04,29.8,0,1.62,37.44,16.95,49.09
2023,164,29.8,31.17,0,1.61,38.96,18.91,49.08
2023,165,30.04,30.72,0,1.36,38.22,19.5,46.67
2023,166,29.72,30.69,0,1.24,37.88,18.53,40.19
2023,167,25.95,31.99,0,0.89,36.6,18.11,34.91
2023,168,22.61,32.96,0,1.39,37.25,19.14,35.91
2023,169,24.87,32.83,0,1.65,36.7,20.9,36.36
2023,170,28.27,31.27,0,1.33,38.22,19.24,32.26
2023,171,27.81,31.92,0,1.22,37.6,17.69,38.74
2023,172,27.81,31.85,0,1.55,38.31,18.49,39.7
2023,173,27.98,31.6,0,1.28,37.78,18.77,39.07
2023,174,27.09,32.24,0,1.73,38.28,19.4,43.65
2023,175,28.71,31.46,0,2.14,37.45,19.23,44.69
2023,176,26.19,32.98,0,2.09,36.84,20.6,47
2023,177,22.4,32.98,0,2.04,35.32,20.32,47.86
2023,178,22.72,33.28,0,1.65,30.94,20.94,51.03
2023,179,23.33,33.09,0,1.72,32.96,20.17,52.99
2023,180,14.87,33.36,0,1.27,28.02,19.47,61.23
2023,181,17.6,33.53,0,1.93,32.15,20.06,59.25
2023,182,15.32,33.1,0,2.07,31.21,19.42,62.65
2023,183,19.27,33.33,0,1.1,28.87,18.77,62.43
2023,184,21.68,33.07,0,1.48,27.63,19.24,67.18
2023,185,21.39,32.91,0,1.43,31.46,18.35,60.57
2023,186,23.33,32.58,2.52,0.96,31.01,19.3,63.49
2023,187,22.59,32.73,5.71,1.37,32.1,19.08,67.52
