Region,Ciclo,MAE,RMSE,Bias,Dias del ciclo
Cajeme,2010-2011,0.3289151898195333,0.3590973932230991,-0.28428903198336214,172
Cajeme,2011-2012,0.30668687765159225,0.3413218598255238,-0.26593324655354983,172
Cajeme,2012-2013,0.2992867265237439,0.3301480901301967,-0.26431218610395474,172
Cajeme,2013-2014,0.308524041787626,0.35155808247921244,-0.2789551924253062,172
Cajeme,2014-2015,0.26908852155434243,0.302195657504205,-0.23721036392589717,172
Cajeme,2015-2016,0.3103180300044471,0.3512189709156738,-0.2774146333001445,173
Cajeme,2016-2017,0.2967846687753875,0.327597156306376,-0.2599537035794233,172
Cajeme,2017-2018,0.30376449412747875,0.3396710216214218,-0.26686286585981295,172
Cajeme,2018-2019,0.27075634278516997,0.3027454779002216,-0.23533051486737708,172
Cajeme,2019-2020,0.2494539968626074,0.28588256195052375,-0.21972988066757917,172
Cajeme,2020-2021,0.32038764640725437,0.3550751661504998,-0.2807050500728053,172
Cajeme,2021-2022,0.3116118640636876,0.3426786352508642,-0.26788393982273123,172
Cajeme,2022-2023,0.29692041916021494,0.33234301882988465,-0.2614948866998192,172
Cajeme,2023-2024,0.30708558758551147,0.34424339946942956,-0.2674435659444439,172
Ensenada,2010-2011,0.36734629160336263,0.42076601501653615,-0.22636632921089692,143
Ensenada,2011-2012,0.4072614415597435,0.4635716220648227,-0.2098812701059892,143
Ensenada,2012-2013,0.3837784792808757,0.44055772597313436,-0.18754690301963908,143
Ensenada,2013-2014,0.4428235518003843,0.5023094164408469,-0.23953988719917982,143
Ensenada,2014-2015,0.42798383863094447,0.49101135025732956,-0.2165973624564359,143
Ensenada,2015-2016,0.4080745340433329,0.45547340918901613,-0.2374027210266568,143
Ensenada,2016-2017,0.372739587114631,0.421738744204342,-0.17081696039578032,143
Ensenada,2017-2018,0.4859154596477307,0.5454173196812617,-0.2573733104793439,143
Ensenada,2018-2019,0.3569657323358614,0.3962138648142432,-0.1995741493597904,143
Ensenada,2019-2020,0.41619918252840077,0.47113646274821563,-0.17869403166488793,143
Ensenada,2020-2021,0.459287598992069,0.5274339433349683,-0.21930554329022162,143
Ensenada,2021-2022,0.4199088587460899,0.4698353151607,-0.2229603864247962,143
Ensenada,2022-2023,0.37291900876909706,0.4125792808998122,-0.21270116967508426,143
Ensenada,2023-2024,0.40533775781867976,0.45791988580411186,-0.18680037170042782,143
Etchojoa,2010-2011,0.3259738716945229,0.35591948473975227,-0.2830296342366288,172
Etchojoa,2011-2012,0.3065593236993982,0.3410513380598327,-0.26754787198419444,172
Etchojoa,2012-2013,0.29979988431358734,0.33093851696544063,-0.2668686782780619,172
Etchojoa,2013-2014,0.30254403253034196,0.3452209805801197,-0.27588991503966864,172
Etchojoa,2014-2015,0.2631928455116827,0.29541295127322187,-0.23279746600124288,172
Etchojoa,2015-2016,0.30357708332626654,0.34287751251729787,-0.2694227931167231,173
Etchojoa,2016-2017,0.2947783403770078,0.32464993329814484,-0.2610269796968166,172
Etchojoa,2017-2018,0.29384815229094285,0.32697385482061897,-0.2569597568572643,172
Etchojoa,2018-2019,0.2718323710484392,0.3017084552560319,-0.23744161272638858,172
Etchojoa,2019-2020,0.2500028137382361,0.2822535122640863,-0.22073086082529364,172
Etchojoa,2020-2021,0.31933531509345126,0.3515065111530927,-0.28130717684385725,172
Etchojoa,2021-2022,0.31287369997412856,0.34376367855167267,-0.2716866919213258,172
Etchojoa,2022-2023,0.3045447204264122,0.3400636274895062,-0.27040895519648744,172
Etchojoa,2023-2024,0.3070356102939246,0.344433986445982,-0.2723339721369305,172
Metepec,2010,0.24457532869330897,0.3608156708310763,0.1946579406403898,170
Metepec,2011,0.2358269244178654,0.3337285738497119,0.18037985917872063,170
Metepec,2012,0.22990356525801098,0.33355700063358135,0.17439706179423992,170
Metepec,2013,0.21956012316631685,0.3178490400748257,0.17159595015138168,170
Metepec,2014,0.19174007312160504,0.27039780308138645,0.14476819478840433,170
Metepec,2015,0.1953517452799138,0.27300254613400887,0.1450937073775555,170
Metepec,2016,0.2143948455405255,0.3071679465079616,0.16160132782486528,170
Metepec,2017,0.2177532985730533,0.31320910388205836,0.1734200151049973,170
Metepec,2018,0.21861243961140128,0.3034479183523002,0.16712496952196934,170
